original,decoded,is_valid,is_same,smile_accuracy,tanimoto_distance,total_avg_accuracy
CSC1CCC(N2C2CSCC(C)(C)C2)CC1,CCC1CCC(N2C2CSCC(C)(C)C2)CC1,x,0,96.42857143,-1,90.12119321
O=c1oc2cc3c4ccccc4n(c4cc(c5ccccc5)cc(c5ccccc5)c4)c3cc2c2,O=c1oc2cc3c4ccccc[CH]n(c4cc(c5ccccc5)cc(c5ccccc5)c4)c3cc2c2,x,0,57.14285714,-1,90.12119321
COc1cccc(OC)c1OCCN2CC(O)COc1cccc2nc(=O)c(C)nc12,COc1cccc(OC)c1OCCN2CC(O)COc1cccc2nc(=O)c1C)nc12,x,0,97.87234043,-1,90.12119321
C=C(CNc1c(F)c(F)c(F)c(F)c1F)C(=O)O-,C=C(CNc1c(F)c(F)c(F)1(F)c1F)C(=O)O-,x,0,97.14285714,-1,90.12119321
CCN2C(COCC(F)(F)F)c1c(OC)cnn1C,CCN2C(COCC(F)(F)F)c1c(OC)1nn1C,x,0,96.66666667,-1,90.12119321
CCN(CC)c1ccc(Nc2cnc(C(=O)NCCCN(C)C)cn2)cc1,CCN(CC)c1ccc(Nc2cnc(C(=O)NCCCN(C)C)nn2)cc1,1,0,97.61904762,0.259259259,90.12119321
CCC1CCCCCN1c1nc(CC(=O)OC)cs1,CCC1CCCCCN1c1ncOCC(=O)OC)cs1,0,0,96.42857143,1,90.12119321
COc1ccc(C2C(=C(O-)c3ccc(N(=O)O-)cc3)C(=O)C(=O)N2c2cc(C)c,COc1ccc(C2C(=C(O-[CH]c3ccc(N(=O)O-)cc3)C(=O)C(=O)N2c2cc(C)c,x,0,35.71428571,-1,90.12119321
CC1C2Cc3cc(C(F)(F)F)ccc3N=C2CC2CCN(CCC3(N3)CCOCC3)CC21,CC1C2Cc3cc(C(F)(F)F)ccc3NcC2CC2CCN(CCC3(N3)CCOCC3)CC21,x,0,98.14814815,-1,90.12119321
Cc1cc(C(=O)NC2CCCCC2C)ccc1NC(=O)C(C)N1CCC(C(=O)N2CCCC2C(,Cc1cc(C(=O)NC2CCCCC2C)ccc1NC(=O)C(C)N1CCC(C(=O)N2CCCC2C(,x,1,100,-1,90.12119321
CCNc1nc(Sc2nccc(C)n2)c(F)cc1F,CCNc1nc(Sc2nccc(C)n2)c(F)cc1F,1,1,100,0,90.12119321
O=C(O-)CC1COCCN1C(=O)Cc1cnc2ccc(N(=O)O-)cc12,O=C(O-)CC1COCCN1C(=O)Cc1cnc2ccc(N(=O)O-)cc121,x,0,100,-1,90.12119321
Cc1c(C(=O)N2CCN(C(C)C(=O)N3CCCCC3)CC2)cnn1c1cccc(C)c1,Cc1c(C(=O)N2CCN(C(C)C(=O)N3CCCCC3)CC2)cnn1c1cccc(C)c1,1,1,100,0,90.12119321
CCc1ccc(c2ccc(C(=O)NC3CCC(O)CC3)s2)cc1,CCc1ccc(c2ccc(C(=O)NC3CCC(O)CC3)s2)cc1,1,1,100,0,90.12119321
O=C(O-)c1c(S(=O)(=O)NCC2CC2)sc2c1CCN2C2,O=C(O-)c1c(S(=O)(=O)NCC21C2)sc2c1CCN2C2,x,0,97.43589744,-1,90.12119321
COc1ccc2c(c1)C1(SCCN1C(=O)Nc1ccc(C)cc1)C(=O)N2Cc1ccccc1C,COc1ccc2c(c1)C1(SCCN1C(=O)Nc1ccc(C)cc1)C(=O)N2Cc1ccccc1C,1,1,100,0,90.12119321
CC(CCN3)n1c2c(nc1=S)CCCN2,CC(CCN3)nCc2c(nc1=S)CCCN2,x,0,96,-1,90.12119321
Cc1ccc(Nc2ccc(C(=O)NCCN3CCOCC3)cn2)c(C)c1,Cc1ccc(Nc2ccc(C(=O)NCCN3CCOCC3)cn2)c(C)c1,1,1,100,0,90.12119321
O=C1CC(Cn2c(=O)oc3ccccc32)c2cnn(Cc3cccnc3)c2N1,O=C1CC(Cn2c(=O)oc3ccccc32)c2cnn(Cc3cccnc3)c2N1,1,1,100,0,90.12119321
Cc1cccn(CCN2C(C)C(C)C)c1=O,Cc1cccn(CCN2C(C1C(C)C)c1=O,x,0,96.15384615,-1,90.12119321
CCCCN(C)c1ncnc(N2CCC(C(=O)OCC)CC2)c1N(=O)O-,CCCCN(C)c1ncnc(N2CCC(C(=O)OCC)CC2)c1N(=O)O-,x,1,100,-1,90.12119321
CCc1noc(CC(=O)N2CCN2CC2)n1,CCc1noc(CC(=O)N2CCN21C2)n1,x,0,96.15384615,-1,90.12119321
COC(=O)N1CCN(C2Cc3cccc(NC(=O)c4cccnc4c4ccc(C(F)(F)F)cc4),COC(=O)N1CCN(C2Cc3cccc(NC([CH]O)c4cccnc4c4ccc(C(F)(F)F)cc4),x,0,57.14285714,-1,90.12119321
O=C(O-)OC1CCCN(CCCC2CC=CC3=C2OC2C=CC=CC2=CN=C3)C1,O=C(O-)OC1CCCN(CCCC2CC=CC3=C2OC2C=CCcCC2=CN=C3)C1,x,0,97.95918367,-1,90.12119321
CCC(CC)CN(CC)C(=O)C1(C)CCCN21,CCC(1C)CN(CC)C(=O)C1(C)CCCN21,x,0,96.55172414,-1,90.12119321
Cc1cccc(C)c1NC(=O)Nc1cc2ccccc2cc1C(=O)N(CC(=O)O-)CC1CCCC,Cc1cccccC)c1NC(=O)Nc1cc2ccccc2cc1C(=O)N(CC(=O)O-)CC1CCCC,x,0,98.21428571,-1,90.12119321
CCCc1nn(C)c(NCc2ccc(F)c(F)c2)c1N,CCCc1nn(C)c(NCc2ccc(F)c(F)c2)c1N,1,1,100,0,90.12119321
CCCN2C(C)Cc1nc2ccccc2n1CC,CCCN2C(C)Cc1nc2ccccc2n1CC,x,1,100,-1,90.12119321
Cc1nccn1c1ncnc(N)c1C,Cc1nccn1c1ncnc(N)c1C,1,1,100,0,90.12119321
O=C(CC1CCC2(CCN2CC2)CC1)N1CCCC1,O=C(CCCCCC2(CCN2CC2)CC1)N1CCCC1,x,0,96.77419355,-1,90.12119321
COC(=O)C1=CC2C(=O)C(OC)(OC)C1C1C3CCC(C3)C21,COC(=O)C1=CC2C(=O)C(OC)(OC)C1C1C3CCC(C3)C21,1,1,100,0,90.12119321
Oc1ccc(c2c3ccccc3cc3ccc(c4ccc(c5nc6ccccc6n5c5ccccc5)cc4),Oc1ccc(c2c3ccccc3cc3ccc(c4ccc(cCnc6ccccc6n5c5ccccc5)cc4),x,0,98.21428571,-1,90.12119321
C=C(C)C(=O)OCC(=O)OC1C2CC3C1OC(=O)C3C2C(=O)OC1C2CC3C(=O),C=C(C)C(=O)OCC(=O)OC1C2CC3C1OC(=O)C3C2C(=O)OC1C2CC3C(=C),x,0,98.21428571,-1,90.12119321
CCNC(=NCc1cccc(OC)c1O)N1CCN(c2ccccc2F)CC1,CCNC(=NCc1ccc[Mn+3](OC)c1O)N1CCN(c2ccccc2F)CC1,0,0,36.58536585,1,90.12119321
CCOP(=O)(OCC)OCCS(=O)(=O)O-,CCOP(=O)(OCC)OCCS(=O)(=O)O-,x,1,100,-1,90.12119321
CCc1nsc(OC2CCC(N3)C2)n1,CCc1nsc1OC2CCC(N3)C2)n1,x,0,95.65217391,-1,90.12119321
COc1cc(C(Nc2ccc(c3noc(C)n3)cc2)c2nc(=O)n(c3ncccc3N)n2)cc,COc1cc(C(Nc2ccc(c3noc(C)n3)cc2)c2nc(cO)n(c3ncccc3N)n2)cc,x,0,98.21428571,-1,90.12119321
CC(C)Oc1c(Nc2ccc(NCC(CC(N)=O)Nc3ccc(c4nnnc4c4ccc(C#N)cc4,CC(C)Oc1c(Nc21cc(NCC(CC(N)=O)Nc3ccc(c4nnnc4c4ccc(C#N)cc4,x,0,98.21428571,-1,90.12119321
CCCN2C(c1c(B)cnn1CCC)C1CSCCN1C,CCCN2C(c1c(B)cnn1CCC)C1CSCC11C,x,0,96.66666667,-1,90.12119321
CN2C1(CC(=O)NCCC#N)CCCCC1,CN2C1(CC(=O)NCCC#N)CCCCC1,x,1,100,-1,90.12119321
COc1ccccc1OCc1ccc(C(=O)NCCCn2ccc3ccccc32)o1,COc1ccccc1OCc1ccc[Ca]C(=O)NCCCn2ccc3ccccc32)o1,0,0,51.1627907,1,90.12119321
O=C(CSc1ccc(C)cc1)Nc1cnnc1,O=C(CSc1ccc(C)cc1)Nc1cnnc1,x,1,100,-1,90.12119321
COCCS(=O)(=O)N(CC(N)=O)Cc1cccc(N)c1,COCCS(=O)(CO)N(CC(N)=O)Cc1cccc(N)c1,1,0,97.14285714,0.436363636,90.12119321
Cc1nc(Cc2c(B)cccc2B)nc1c1ccc(C)c(C)c1,Cc1nc(Cc21(B)cccc2B)nc1c1ccc(C)c(C)c1,x,0,97.2972973,-1,90.12119321
O=C(NCCc1ccc2c(c1)C=CCCCC2)NCC1CC1,O=C(NCCc1ccc2c(c1)C=CCCCC2)NCC1CC1,1,1,100,0,90.12119321
O=C(CCC(=O)N1CCC(Cc2cccnc2)CC1)NC1CCCC1,O=C(CCC(=O)N1CCC(Cc2cccnc2)CC1)NC1CCCC1,1,1,100,0,90.12119321
Cc1ccc(C(=O)Oc2ccccc2C=C2N=C(c3ccc(N(=O)O-)cc3)OC2=O)cc1,Cc1ccc(C(=O)Oc2ccccc2C=C2N=C(c3ccc(N(=O)O-)cc3)OC2=O)cc1,x,1,100,-1,90.12119321
COc1cc(OC)c(N2Cc3ccc(N)cc3C2)cc1C,COc1cc(OC)c(N2Cc3ccc(N)cc3C2)cc1C,1,1,100,0,90.12119321
CCC(N3)C(c1cccc(C)c1)N(C)CC(C)C(=O)NC,CCC(N3)C(c1cccc(C)c11N(C)CC(C)C(=O)NC,x,0,97.2972973,-1,90.12119321
CC1CC1CN1CCCC(C(=O)NCCN3)C1,CC1CC1CN1C1CC(C(=O)NCCN3)C1,x,0,96.2962963,-1,90.12119321
CC1NCCc2cccc(c2)-c2ccnc(n2)Nc2ccc(N3CCOCC3)c(c2)CN2C1O,CC1NCCc2cccc(c2)-c2ccnc(n2)Nc2ccc(N3CCOCC3)c(c2)CN2C1O,x,1,100,-1,90.12119321
O=C(CC1CSCCN21)N1CCN(c2cc(F)ccc2F)CC1,O=C(CC1CSCCN21)N1CCN(c2cc(F)ccc2F)CC1,x,1,100,-1,90.12119321
Cc1ccc(n2nc(C(=O)NCc3ccccc3CO)cc2=O)cc1,Cc1ccc(n2nc(C(=O[124I]NCc3ccccc3CO)cc2=O)cc1,x,0,48.71794872,-1,90.12119321
Cc1cc(O)ccc1NCCN1CCCC1,Cc1cc(O)ccc1NCCN1CCCC1,1,1,100,0,90.12119321
Cn1c(=O)n(CC(C)(C)C)c2ccc(N3CC4CCC3CN4C(=O)c3ccns3)nc21,Cn1c(=O)n(CC(C)(C)C)c)ccc(N3CC4CCC3CN4C(=O)c3ccns3)nc21,0,0,98.18181818,1,90.12119321
Cc1ccccc1Sb(B)(B)(c1ccccc1C)c1ccccc1C,Cc1ccccc1Sb(B)(B)(c[124I]ccccc1C)c1ccccc1C,x,0,56.75675676,-1,90.12119321
O=C1OC2(CCC(O)(C(=O)Nc3cc(c4ccccc4)nn3)CC2)c2ccccc21,O=C1OC2(CCC(O)(C(=O)Nc3cc(c4ccccc4)nn3)CC2)c2cccc121,x,0,98.07692308,-1,90.12119321
