original,decoded,is_valid,is_same,smile_accuracy,tanimoto_distance,total_avg_accuracy
CC(NC(=O)NCc1cn2cc(C)ccc2n1)c1ccccc1,ccCc(ccC(cCCccCcCcCC9ccCCC(cCcCCcCcC(C(ccCCCcCC(,0,0,22.22222222222222,1,20.010938764249715
C=CCn1c(N)cc(=O)nc1SCC(=O)Nc1cccc(C)c1C,CccCcCCCCCCccC(ccCc(CCCCCCcCCCCCc(CCcCcccC(CcCcc,0,0,23.076923076923077,1,20.010938764249715
COC(=O)C1CN(Cc2cnnc2-c2ccc(OC)cc2)CCO1,C(CCCc(CCCCcCCCCCCCC)CcCccCCccc)CCcCccccCCCCcCccC,x,0,23.684210526315788,-1,20.010938764249715
CCN(CCC#N)C(=O)Cn1cnc2sc3c(c2c1=O)CCC3,Cc((CCCcCCCCCcCCcCCcccCCccbcCcccCCCCCCcC(CCcCC(,0,0,36.84210526315789,1,20.010938764249715
CC(=O)c1ccc2nc(C)c(CN3CCOCC3)c(=O)c2c1,CCCCCCCcccCcCcCc(cccCCCccccCccccC(CbCCCCCCCCc,x,0,21.052631578947366,-1,20.010938764249715
CCCCNC(=O)N1CCN(c2cccc(F)c2C#N)CC1,CCFCCcCCcCCcCCCcCcCCCcc)cCCccc((CcCcCCcCcC=CCc,0,0,20.588235294117645,1,20.010938764249715
NC(=O)NC(CC(=O)Nc1ccc2ccccc2c1)c1cccs1,CCCCCCCc(CCcCccCCCCCccCcCCccCCCC=CccCcCCCcCCCcc,0,0,23.684210526315788,1,20.010938764249715
CCOC(=O)C1=C(C)C(C(=O)C(C)N2CCOCC2)=NC1C,cccCcC((CCCCCCcCCCcCCCccCcCcC(CCcCccCCCcCcCcCCc,0,0,25.0,1,20.010938764249715
Cn1c(COc2ccc(F)c(C)c2)nnc1SCC(N)=O,CccCCcCCCcCCcbCcCCccCCcCcCCCCCcCCc(ccCccCCcCcCccCCCcC,0,0,23.52941176470588,1,20.010938764249715
O=C(Cn1c(-c2ccccn2)noc1=O)N1CCc2sccc2C1,CCCccc(ccCCCCcCCCCCCcCcccCC)CCC((CCcCc)CcCCcCCCC(,0,0,15.384615384615385,1,20.010938764249715
CN1c2ccc(N)cc2NC(=O)C12CCC(C(C)(C)C)CC2,(CcCCCcccCCccC(CcC3CcCccc(CcCcCCCccCCc(CCCCCCccCc,0,0,17.94871794871795,1,20.010938764249715
Cc1csc(NC(=O)c2ccccc2OCc2c(C)noc2C)n1,CCCCC9cCcCNcCcCC(CcCccCcCCCCcCCCCCCCcCCccCCCCCccCCCCcC,0,0,18.91891891891892,1,20.010938764249715
COc1cc(CNC(=O)c2ccccn2)ccc1OC1CCCC1,cC(CCcCCC(CCCc(CCCCCccccCCCcCCCccCC(cCCccNcCCCCcC,0,0,17.142857142857142,1,20.010938764249715
CC(C)NC(=O)COC(=O)c1ccccc1OC(F)F,CccCCCcCccCcCC(CCcCcCCCCCCCCCCcccCccC)(9cccCCCCCCC,0,0,15.625,1,20.010938764249715
CCOC(=O)c1csc(NC(=O)Cc2ccc(OC)c(C)c2)n1,CCCcCCCcC(C(CCccCCCcCCcCCcccc(CccccCcCcCCCc(CCcccccC,0,0,12.82051282051282,1,20.010938764249715
CCN(Cc1cccc(C)c1)C(=O)CCn1cc(C)cn1,(cCcCCCcCccc(CcCCcCC(CcCcCccCc(CCCcCCCC(cC(cCCc(cC,0,0,23.52941176470588,1,20.010938764249715
COc1cccc(C(N)=O)c1OCC(=O)NC1CCCCC1,cCccccCCcC)CCCCCCCc(ccCccCCC(CcCC(cCCCcCCccCcCCcC,0,0,23.52941176470588,1,20.010938764249715
C#CCN1CCN(C(C)c2nc(-c3ccc(OC)cc3)no2)CC1,ccCCcCC(ccccC(bc(CcccC(CCcC(ccccCccCcccC(c(cc(cCCc,0,0,17.5,1,20.010938764249715
CCc1cc2c(s1)NC(=O)CN=C2c1ccccc1C,ccCCcCCcccccC(CCCCc(CCCcCcCcCCCC(CcCCCCCcCCCCbccCc(,0,0,21.875,1,20.010938764249715
CCOc1cc(C)ccc1NCC(=O)Nc1cc(C)on1,CcC(cCCCCCCc)C=cCC()ccCCbcCccCCCCCC((CCCc(Cc(CCCcc,0,0,15.625,1,20.010938764249715
Cc1c(C(=O)Nc2ccccn2)sc2ccc(F)cc12,CcCCCbcCCCcCCCCcCC(CcCc(NCCcCCcCC(CcCCcCCcccCCCCcC(CC,0,0,12.121212121212121,1,20.010938764249715
N#Cc1ccc(OC(=O)c2ccc(C(F)(F)F)nc2)cc1,CCCcCccc(CCCCc)cCc(cCcCCCC(CCCCCCcCCcccCCCcCCCc,0,0,29.72972972972973,1,20.010938764249715
CC(O)CC1CN(C(=O)OC(C)(C)C)CCC1=O,ccCCCC)CCc=C(ccCCcCcCC(CCccCcc)CcCc=CCc(cccCCCCC,0,0,18.75,1,20.010938764249715
CNS(=O)(=O)c1cc(C(=O)Nc2cccc(C)c2C)ccc1OC,CCCC(CCcCCCC(c(cccCCCC(CCcCC)C(CCccCCcCCCCCCCbCc)cCCc,0,0,14.634146341463413,1,20.010938764249715
Cc1ccc(S(C)(=O)=O)cc1NCC(=O)N1CCOCC1,ccCCCCccCcCCcCCCcCcCC(CcCccCCCCcC(cCcCCccCCCccCCC,0,0,11.11111111111111,1,20.010938764249715
CC1=C(C(=O)OC(C)(C)C)C(c2cccs2)NC(=O)N1,CccCcCcCCcCCCCCCCCCCc(CCCCcccc)CCCCc((cCCcCCcCccCCCc,0,0,23.076923076923077,1,20.010938764249715
CN(Cc1csc(-c2ccccc2)n1)C(=O)c1cccn1C,(cCCcccCCCb(cCCcbCCCCCCCCCCcc(CccCcC(cCcCCCCcCCccCCcC,0,0,25.0,1,20.010938764249715
CCCCc1cc(NC(=O)c2ccc(NC(=O)C3CC3)cc2)nn1,)cCcCCCC)CbCccCCcCCcccCCcCCC(ccCCcccccCc(c)CCCcCCC=cCC,x,0,15.0,-1,20.010938764249715
CCOc1cc(-c2ccccc2)sc1C(=O)Nc1cnn(C)c1,C(CCcc=CCCNCccCC(CcCCCCC(CC(c)cCccCCCCCccCCCCcCCC,0,0,13.513513513513514,1,20.010938764249715
COc1ccc(OC)c(S(=O)(=O)NCCc2cccs2)c1,CcCcC(CcCCCCCCCC9cccCNc)CCCCCCcC(Ccc((CCCcccC(C(,0,0,8.571428571428571,1,20.010938764249715
CCn1c(SCc2csc(-c3ccccn3)n2)nnc1C1CC1,CCCccCCCCC=cCCCCb=CcC(CcCcCccCccCcCcc)(cCCcCCCCCCcc(C,0,0,16.666666666666664,1,20.010938764249715
Cc1ccc(OC(=O)Cn2ccc(=O)n(C)c2=O)cc1,CCCcC(CCCC8CcCCCCcCCCCCCCcCCCCCcCCCCcCc8CcC(c)ccCCC,0,0,14.285714285714285,1,20.010938764249715
CC(C(N)=O)S(=O)(=O)c1ccc2ccccc2c1,C(CCCcCcCcCCCCC3cC)cC(CccCCbCc(cCcCcCC(C8cCCCCC(,0,0,21.21212121212121,1,20.010938764249715
COc1cccc(NC(=O)c2sc3ncccc3c2N)c1,CCccc(Ccc)CcNCbCCCCCCCCCcc(CCCccCCCCcCCccCCccCCCc(cCC,0,0,21.875,1,20.010938764249715
CCN(CC)C(=O)c1ccccc1NC(=O)NC(C1CC1)C1CC1,cCccC(CCCCCCCCCcCCCccCCccccccccccCCCCcCCcCc)CcCC,0,0,17.5,1,20.010938764249715
CC(C)(C)c1cc(=O)n2c(n1)SCC(C(=O)NCc1ccco1)C2,(CCCc)C(c)CccCCCCCC(cCCCCCCcccCC(ccCccCcCcCCCCCCCCCc,0,0,27.27272727272727,1,20.010938764249715
COc1ccc(C(NC(=O)Cc2csc(C)n2)C(C)C)cc1,cCCcCcCcCCcCCcCCcC4cccCccCCcCCCCccCccCCCcCCCcC(,0,0,21.62162162162162,1,20.010938764249715
Cc1ccc(F)c(S(=O)(=O)NCCc2cnc3ccccc23)c1,cCcCOCcCcCCcCcC(CC=CcCCCCcCCccCccCC((CC(CCCcCcCC(Cc,x,0,15.384615384615385,-1,20.010938764249715
Cc1nc2cc(=O)nn2c(C)c1CNC(=O)c1cccc(C)c1,Ccbc(CcCC((CcC(cCCCCccCCC(CCCcCccCC(ccCcCCbCCCcCCC,x,0,23.076923076923077,-1,20.010938764249715
C=CCN(Cc1cccc(C#N)c1)C(=O)Cc1csc(C)n1,cC)(CCCCc(CcCCcCCCCCcC((cCNCCcCCcCCccCccCCCCcFCCccC,0,0,16.216216216216218,1,20.010938764249715
O=C(Nc1ccc2c(c1)COC2)c1cc(-c2ccc(F)cc2)on1,CcCC(ccCccCCCCCCCCCcCccCCcCccCCcc(cCCCcCc(ccCC,0,0,21.428571428571427,1,20.010938764249715
COc1cc(C(=O)NCc2ccco2)cc2c1OCCO2,CCcCCCC(CCC(CCCCCcC((CCccCCCcCCccCC((CCCCCC(cccC,0,0,18.75,1,20.010938764249715
CCC(NC(=O)Nc1ccc(C(C)=O)cc1)c1cc(F)ccc1F,(CcCCCCCCcCC(C)cCcC)c(C=ccC((CC(CCCcbCCCCcCFcCCc,0,0,15.0,1,20.010938764249715
COc1ccccc1OCCNS(=O)(=O)N1CC(C)OC(C)C1,CCCC(cCcCCcc(8CCCCcccCccNCCC9cCcCCCcCccCCcCc((,0,0,16.216216216216218,1,20.010938764249715
Cn1nc(CC(=O)Nc2cccc3nccc23)c2ccccc2c1=O,C(CCC(ccCCc(cC4CcCC(CcCCcC(CccccCCcNcCccCCcccCccc,x,0,17.94871794871795,-1,20.010938764249715
Cc1ccc(F)cc1S(=O)(=O)NCc1cccc(O)c1,CcCccC(ccCCCC(CC(cccCcCCcCccCC(cccCC(cCcCcCccccCcCC(,0,0,29.411764705882355,1,20.010938764249715
CCCNC(=O)C1CCN(c2ccc(-n3cncn3)nn2)CC1,(CcCCCCC((ccCcCCCCccCccC(CcC(C(ccCcCcCccc(CC(CcCC,0,0,18.91891891891892,1,20.010938764249715
Cc1noc(C)c1CN1CCC2C1CCN2S(=O)(=O)C1CC1,CC8CCCC(CCCCCCCCCCccccCC(cCc(ccccc(CCCCCCCCcCcCCccCCC,0,0,18.421052631578945,1,20.010938764249715
O=C(NCCc1csc(-n2cccn2)n1)Nc1ccccc1F,CccCc(c(CcCCc(cCcCCcCCCCcCcC(CcCccCCCCc(CC(CccCcCCc,0,0,14.285714285714285,1,20.010938764249715
Cc1ccc2c(c1)N(Cc1nc(-c3cccnc3)no1)C(=O)CO2,CcccCcCcccCcccCcccCCCCCCcCcC(cCcCccCCcCCcCCCcCcc(,0,0,23.809523809523807,1,20.010938764249715
NC(=O)Cc1ccccc1NC(=O)c1coc(-c2ccccc2)n1,c(CcCcCCcCCc(((CCCCccCccCCCCCCCCcCCc(CCccCCCCCCcc,0,0,12.82051282051282,1,20.010938764249715
CC(C)CCNC(=O)c1cc(=O)nc2ccccc12,cCCCCC(CCCcC9cc)=cCCCCCc8cI(C(CcCcCCccCc)CcCcCCC,x,0,19.35483870967742,-1,20.010938764249715
Cc1nnc2n1CCN(CC(=O)NCCC1=CCCCC1)C2,cCc8C(CCC((CCCCc(CC(CC(CcCCCCCCCCCCCCCc(ccCcCCCCcC,0,0,29.411764705882355,1,20.010938764249715
CCCc1cc(C(=O)OCC(=O)N2CCOCC2)sc1C,cCcCCc(c(cCcCCCC(CCCCCcCcccCC(c(CCccCcCCCCcccC(cCCccC,0,0,24.242424242424242,1,20.010938764249715
CC(=O)c1cccc(NC(=O)CC(C#N)c2ccco2)c1,CFcCCCcCc(ccCccc(cccCCccCcCCC(c=cccCCcCcCCC)CCcCcCCNc,0,0,22.22222222222222,1,20.010938764249715
Cc1ccc(SCCNC(C(N)=O)c2ccccc2)cc1,(CccCCc(CCCCC(CccCcCCCCCcCCCCC(cCCCCCCCCCCCCC,0,0,15.625,1,20.010938764249715
