original,decoded,is_valid,is_same,smile_accuracy,tanimoto_distance,total_avg_accuracy
COc1ccc(C2CC(=O)c3cnc(NCc4ccco4)nc3C2)cc1,COc1ccc(C2CC(=O)c3cnc(NCc4ccco4)nc3)2)cc1,0,0,97.5609756097561,1.0,98.81773491827292
CC1(C(=O)Nc2ccc(-n3ccnc3)cc2)Cc2ccccc2C(=O)O1,CC1(C(=O)Nc2ccc(-n3ccnc3)cc2)Cc2ccccc2C1=O)O1,0,0,97.77777777777777,1.0,98.81773491827292
CC(C)NC(=O)C1CCCC(NC(=O)C2CC=CC2)C1,CC(C)NC(=O)C1CCCCNNC(=O)C2CC=CC2)C1,0,0,97.14285714285714,1.0,98.81773491827292
CCNC(=O)c1ccc(CNC(=O)c2cn(-c3ccccc3)nn2)cc1,CCNC(=O)c1ccc(CNC(=O)c2cn(-c3ccccc3)nn2)cc1,1,1,100.0,0.0,98.81773491827292
O=C(CNC(=O)c1c[nH]nn1)NCC1CCCC1,O=C(CNC(=O)c1c[nH]nn1)NCC1CCCC1,1,1,100.0,0.0,98.81773491827292
O=C1CCc2cc(OCC(=O)n3[nH]c(=O)c4ccccc43)ccc2N1,O=C1CCc2cc(OCC(=O)n3nnH]n(=O)c4ccccc43)ccc2N1,0,0,95.55555555555556,1.0,98.81773491827292
CC1CN(C)c2ccccc2CN1C(=O)c1cnn(C)c1,CC1CN(C)c2ccccc2CN1C(=O)c1cnn(C)c1,1,1,100.0,0.0,98.81773491827292
Cc1cc(C)cc(Oc2ncnc(N3CCCC3)c2N)c1,Cc1cc(C)cc(Oc2ncnc(N3CCCC3)c2N)c1,1,1,100.0,0.0,98.81773491827292
CC(C)c1ccc(NC(=O)CSc2nn3cnnc3s2)cc1,CC(C)c1ccc(NC(=O)CSc2nn3cnnc3s2)cc1,1,1,100.0,0.0,98.81773491827292
COCc1ccc(C(=O)Nc2ccc(N3CCCC3=O)c(C)c2)cc1,COCc1ccc(C(=O)Nc2ccc(N3CCCC3=O)c(C)c2)cc1,1,1,100.0,0.0,98.81773491827292
COC(=O)NCCC(=O)Oc1ccc(-c2ccc(C#N)cc2)cc1,COC(=O)NCCC(=O)Oc1ccc(-c2ccc(C#N)cc2)cc1,1,1,100.0,0.0,98.81773491827292
CCCn1cc(NC(=O)Nc2ccccc2CN2CCOCC2)cn1,CCCn1cc(NC(=O)Nc2ccccc2CN2CCOCC2)cn1,1,1,100.0,0.0,98.81773491827292
Cc1ccccc1NC(=O)CN1CCN(c2ccccc2)CC1,Cc1ccccc1NC(=O)CN1CCN(c2ccccc2)CC1,1,1,100.0,0.0,98.81773491827292
N#Cc1ccc(NC2CCN(CC(F)F)CC2)c(F)c1,N#Cc1ccc(NC2CCN(CC(F)F)CC2)c(F)c1,1,1,100.0,0.0,98.81773491827292
COc1ccc(-c2cc(CC#N)c(C3CC3)o2)cc1,COc1ccc(-c2cc(CC#N)c(C3CC3)o2)cc1,1,1,100.0,0.0,98.81773491827292
Cc1nc(C2CCCN(C(=O)c3c(C)oc(C)c3C)C2)no1,Cc1nc(C2CCCN(C(=O)c3c(C)oc(C)c3C)C2)no1,1,1,100.0,0.0,98.81773491827292
